,domain,phylum,class,order,family,genus,species
OTU_32,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_35,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_murdochii
OTU_56,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
OTU_1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_25,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_jensenii
OTU_4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_jensenii
OTU_15,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_37,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_ureolyticus
OTU_81,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Helcococcus,unclassified
OTU_33,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis
OTU_39,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus_subsp._whileyi
OTU_109,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Helcococcus,Helcococcus_sueciensis
OTU_44,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_88,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,unclassified
OTU_118,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus_urinae
OTU_86,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus_sanguinicola
OTU_69,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_192,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_urealyticum
OTU_92,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_duerdenii
OTU_323,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Sediminibacterium,unclassified
OTU_629,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_58,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_136,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_somerae
OTU_87,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia_ignava
OTU_50,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_686,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_71,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_17,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
OTU_142,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_agalactiae
OTU_418,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,unclassified
OTU_2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_iners
OTU_172,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinotignum,Actinotignum_sanguinis
OTU_563,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_14,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_tuberculostearicum
OTU_234,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,unclassified
OTU_1092,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_36,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum_subsp._animalis
OTU_162,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_coxii
OTU_105,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_476,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_167,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Negativicoccus,Negativicoccus_succinicivorans
OTU_478,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_45,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_776,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_189,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_264,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_49,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_propionicifaciens
OTU_336,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_355,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_530,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_1089,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_84,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_disiens
OTU_243,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bergensis
OTU_887,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_899,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_599,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_1073,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_taiwanensis
OTU_99,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Ezakiella,Ezakiella_peruensis
OTU_737,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_736,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_12,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unclassified
OTU_20,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_110,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_octavius
OTU_560,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
OTU_528,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_1046,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_398,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
OTU_392,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_596,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_892,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_ureolyticus
OTU_888,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_38,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,unclassified_Micrococcaceae,unclassified
OTU_190,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_315,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_897,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus_sanguinicola
OTU_417,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella,Jonquetella_anthropi
OTU_447,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_nanceiensis
OTU_885,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_murdochii
OTU_834,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,unclassified
OTU_54,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_anginosus_subsp._whileyi
OTU_429,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,Facklamia_ignava
OTU_526,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_octavius
OTU_889,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Negativicoccus,Negativicoccus_succinicivorans
OTU_168,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_europaeus
OTU_34,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_succinatiphilus
OTU_65,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_buccalis
OTU_451,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus,Anaeroglobus_geminatus
OTU_650,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_561,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella_rava
OTU_651,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_883,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_9,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,unclassified
OTU_1168,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_nigrescens
OTU_1076,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_379,Bacteria,Firmicutes,Clostridia,unclassified_Clostridia,unclassified_Clostridia,unclassified_Clostridia,unclassified
OTU_175,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_bennonis
OTU_562,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,Oribacterium_sinus
OTU_894,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_107,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unclassified
OTU_1080,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_697,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_66,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_murdochii
OTU_408,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium_minutum
OTU_74,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unclassified
OTU_635,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_pilbarense
OTU_1049,Bacteria,Firmicutes,Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified
OTU_141,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae Sedis XI,Gemella,Gemella_haemolysans
OTU_742,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_240,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,unclassified_Peptoniphilaceae,unclassified
OTU_252,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unclassified
OTU_149,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_lini
OTU_228,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_529,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Ezakiella,Ezakiella_peruensis
OTU_128,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,unclassified_Pasteurellaceae,unclassified
OTU_741,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_393,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium_xerosis
OTU_77,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_891,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_213,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
OTU_434,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_404,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,unclassified_Aerococcaceae,unclassified
OTU_396,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,unclassified_Bifidobacteriaceae,unclassified
OTU_1077,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,unclassified
OTU_654,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,unclassified_Rhodospirillales,Reyranella,unclassified
OTU_169,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,unclassified
OTU_197,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_lini
OTU_536,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,unclassified_Streptococcaceae,unclassified
OTU_634,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_477,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_735,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_433,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_ureolyticus
OTU_449,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_468,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_75,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum_cambriense
OTU_373,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_455,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_546,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_740,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_193,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_bennonis
OTU_383,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,unclassified
OTU_1066,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_1174,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,unclassified
OTU_3,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella_vaginalis
OTU_442,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_luti
OTU_703,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_310,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium_prausnitzii
OTU_738,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_900,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_duerdenii
OTU_685,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_890,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_679,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_90,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_lacrimalis
OTU_877,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_884,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_129,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_225,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_stercoris
OTU_662,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_220,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,"unclassified_""Porphyromonadaceae""",unclassified
OTU_739,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_1070,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_390,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_1186,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella_atypica
OTU_1112,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae,unclassified
OTU_47,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_361,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_652,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,unclassified
OTU_1065,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_82,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_820,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_151,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_1056,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_200,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unclassified
OTU_265,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_551,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,unclassified
OTU_1075,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_366,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_298,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia_wexlerae
OTU_653,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella_bernardiae
OTU_770,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,unclassified
OTU_767,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_270,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unclassified
OTU_698,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_duerdenii
OTU_79,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_1166,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_octavius
OTU_148,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,unclassified_Micrococcaceae,unclassified
OTU_572,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_579,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,unclassified
OTU_114,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_coxii
OTU_538,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,"unclassified_""Leptotrichiaceae""",unclassified
OTU_799,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_1096,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_taiwanensis
OTU_688,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,unclassified
OTU_1000,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,Anaerococcus_vaginalis
OTU_1045,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_1003,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus_harei
OTU_251,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_893,Bacteria,Firmicutes,Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified
OTU_636,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified_Erysipelotrichaceae,unclassified
OTU_331,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Finegoldia,Finegoldia_magna
OTU_880,Bacteria,Firmicutes,Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified
OTU_424,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_936,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_676,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_895,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_116,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_bivia
OTU_325,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,unclassified_Bradyrhizobiaceae,unclassified
OTU_930,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,unclassified
OTU_623,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_807,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_76,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella_dispar
OTU_321,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis
OTU_380,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_824,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_896,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
OTU_539,Bacteria,Firmicutes,Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified_Bacilli,unclassified
OTU_898,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
