,domain,phylum,class,order,family,genus,species
OTU_43,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Streptobacillus,Streptobacillus_moniliformis
OTU_848,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_30,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_amnii
OTU_456,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,unclassified
OTU_16,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_46,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,unclassified
OTU_19,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma_hominis
OTU_132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_157,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella_montpellierensis
OTU_711,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_368,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,unclassified_Dermabacteraceae,unclassified
OTU_246,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Nosocomiicoccus,unclassified
OTU_372,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_348,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae,unclassified
OTU_712,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,unclassified
OTU_143,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,"unclassified_""Porphyromonadaceae""",unclassified
OTU_1214,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_amnii
OTU_423,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,unclassified
OTU_112,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_41,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_713,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_445,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_123,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae,unclassified
OTU_98,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillales_Incertae Sedis XI,Gemella,Gemella_asaccharolytica
OTU_102,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_1131,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_415,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_871,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_416,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_557,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_217,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,"unclassified_""Porphyromonadaceae""",unclassified
OTU_521,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_831,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_391,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unclassified
OTU_181,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_178,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Oligella,Oligella_urethralis
OTU_28,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_444,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_278,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_370,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1129,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_841,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_432,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_832,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_715,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_458,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_26,Bacteria,Proteobacteria,"unclassified_""Proteobacteria""","unclassified_""Proteobacteria""","unclassified_""Proteobacteria""","unclassified_""Proteobacteria""",unclassified
OTU_1172,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_374,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,unclassified
OTU_163,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_371,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_260,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera_indica
OTU_291,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified_Coriobacteriaceae,unclassified
OTU_121,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto,Clostridium_colicanis
OTU_1118,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_642,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_422,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_397,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_284,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium_rhamnosum
OTU_237,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_buccalis
OTU_202,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_853,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1142,Bacteria,Firmicutes,Bacilli,Lactobacillales,unclassified_Lactobacillales,unclassified_Lactobacillales,unclassified
OTU_1179,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,Anaerococcus,unclassified
OTU_250,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1119,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified_Coriobacteriaceae,unclassified
OTU_869,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,unclassified
OTU_406,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,unclassified_Halobacteriaceae,unclassified
OTU_120,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_sputorum_subsp._bubulus
OTU_229,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified
OTU_207,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,unclassified
OTU_343,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Roseomonas_gilardii_subsp._rosea
OTU_395,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,unclassified
OTU_329,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,unclassified
OTU_414,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum,Stomatobaculum_longum
OTU_268,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus,unclassified
OTU_1123,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_552,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides_halotolerans
OTU_317,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_608,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,"unclassified_""Leptotrichiaceae""",unclassified
OTU_330,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_256,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_358,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_359,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_273,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia_extructa
OTU_838,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1130,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_717,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Sneathia,Sneathia_sanguinegens
OTU_322,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_296,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
